Structure,nMissing2xDilBrainMaskFromAtlas,nMissingBrainMaskFromAtlas,nMissingROIFromAtlas,nOverlapROIWithAtlas,nROIOutsideAtlas,nOverlap2xDilROIWithAtlas
ALL,1,23,,,,
CEREBELLUM_LEFT,1,7,803,7906,1333,8706
THALAMUS_LEFT,0,0,54,1234,251,1288
CAUDATE_LEFT,0,0,103,625,108,721
PUTAMEN_LEFT,0,0,258,802,124,1054
PALLIDUM_LEFT,0,0,56,241,54,297
BRAIN_STEM,0,8,206,3266,290,3472
HIPPOCAMPUS_LEFT,0,0,153,611,92,764
AMYGDALA_LEFT,0,0,96,219,19,314
ACCUMBENS_LEFT,0,0,40,95,16,135
DIENCEPHALON_VENTRAL_LEFT,0,0,90,616,123,706
CEREBELLUM_RIGHT,0,8,847,8297,1116,9143
THALAMUS_RIGHT,0,0,111,1137,137,1248
CAUDATE_RIGHT,0,0,106,649,112,749
PUTAMEN_RIGHT,0,0,160,850,115,1007
PALLIDUM_RIGHT,0,0,49,211,70,260
HIPPOCAMPUS_RIGHT,0,0,148,647,78,795
AMYGDALA_RIGHT,0,0,54,278,37,332
ACCUMBENS_RIGHT,0,0,50,90,19,140
DIENCEPHALON_VENTRAL_RIGHT,0,0,103,609,75,712
